"","NSub","model","exp","cond","DurID","Prob","Dur"
"74",14,"Bisection Model","exp1","PS","DurProb3","0.191275979949784","636"
"75",15,"Bisection Model","exp1","PS","DurProb3","0.0272914500540627","636"
"76",1,"Bisection Model","exp1","NS","DurProb3","0.240565148332167","992"
"77",2,"Bisection Model","exp1","NS","DurProb3","0.316333628652061","992"
"78",3,"Bisection Model","exp1","NS","DurProb3","0.689945269018806","992"
"79",4,"Bisection Model","exp1","NS","DurProb3","0.880059410034576","992"
"80",5,"Bisection Model","exp1","NS","DurProb3","0.85946728533817","992"
"81",6,"Bisection Model","exp1","NS","DurProb3","0.54247994722722","992"
"82",7,"Bisection Model","exp1","NS","DurProb3","0.591903278911308","992"
"83",8,"Bisection Model","exp1","NS","DurProb3","0.596963475794088","992"
"84",9,"Bisection Model","exp1","NS","DurProb3","0.721431379137626","992"
"85",10,"Bisection Model","exp1","NS","DurProb3","0.826035081534895","992"
"86",11,"Bisection Model","exp1","NS","DurProb3","0.973277967965265","992"
"87",12,"Bisection Model","exp1","NS","DurProb3","0.914072838407998","992"
"88",13,"Bisection Model","exp1","NS","DurProb3","0.541353211993588","992"
"89",14,"Bisection Model","exp1","NS","DurProb3","0.839766905611191","992"
"90",15,"Bisection Model","exp1","NS","DurProb3","0.406070227679501","992"
"91",1,"Bisection Model","exp1","PS","DurProb4","0.0648250545228621","800"
"92",2,"Bisection Model","exp1","PS","DurProb4","0.106263533923886","800"
"93",3,"Bisection Model","exp1","PS","DurProb4","0.427377717636653","800"
"94",4,"Bisection Model","exp1","PS","DurProb4","0.624956165669357","800"
"95",5,"Bisection Model","exp1","PS","DurProb4","0.64251902731043","800"
"96",6,"Bisection Model","exp1","PS","DurProb4","0.246812080606755","800"
"97",7,"Bisection Model","exp1","PS","DurProb4","0.251263561349701","800"
"98",8,"Bisection Model","exp1","PS","DurProb4","0.262052473557906","800"
"99",9,"Bisection Model","exp1","PS","DurProb4","0.280354534081066","800"
"100",10,"Bisection Model","exp1","PS","DurProb4","0.459038735140742","800"
"101",11,"Bisection Model","exp1","PS","DurProb4","0.851312034358526","800"
"102",12,"Bisection Model","exp1","PS","DurProb4","0.568802598939803","800"
"103",13,"Bisection Model","exp1","PS","DurProb4","0.133223240304999","800"
"104",14,"Bisection Model","exp1","PS","DurProb4","0.49638417940477","800"
"105",15,"Bisection Model","exp1","PS","DurProb4","0.108858798889642","800"
"106",1,"Bisection Model","exp1","NS","DurProb4","0.621635462711508","1200"
"107",2,"Bisection Model","exp1","NS","DurProb4","0.6684932808346","1200"
"108",3,"Bisection Model","exp1","NS","DurProb4","0.879034642927582","1200"
"109",4,"Bisection Model","exp1","NS","DurProb4","0.973373908695715","1200"
"110",5,"Bisection Model","exp1","NS","DurProb4","0.958412440312931","1200"
"111",6,"Bisection Model","exp1","NS","DurProb4","0.826857367524488","1200"
"112",7,"Bisection Model","exp1","NS","DurProb4","0.876266438357702","1200"
"113",8,"Bisection Model","exp1","NS","DurProb4","0.874351978703277","1200"
"114",9,"Bisection Model","exp1","NS","DurProb4","0.952741259620831","1200"
"115",10,"Bisection Model","exp1","NS","DurProb4","0.968424223209076","1200"
"116",11,"Bisection Model","exp1","NS","DurProb4","0.99631437069758","1200"
"117",12,"Bisection Model","exp1","NS","DurProb4","0.990299276010281","1200"
"118",13,"Bisection Model","exp1","NS","DurProb4","0.914839993781153","1200"
"119",14,"Bisection Model","exp1","NS","DurProb4","0.969725274581715","1200"
"120",15,"Bisection Model","exp1","NS","DurProb4","0.815401790923258","1200"
"121",1,"Bisection Model","exp1","PS","DurProb5","0.264450818492466","1008"
"122",2,"Bisection Model","exp1","PS","DurProb5","0.341315383628369","1008"
"123",3,"Bisection Model","exp1","PS","DurProb5","0.709075570868798","1008"
"124",4,"Bisection Model","exp1","PS","DurProb5","0.892498727505003","1008"
"125",5,"Bisection Model","exp1","PS","DurProb5","0.871346723816023","1008"
"126",6,"Bisection Model","exp1","PS","DurProb5","0.568932857799229","1008"
"127",7,"Bisection Model","exp1","PS","DurProb5","0.621004972286504","1008"
"128",8,"Bisection Model","exp1","PS","DurProb5","0.625238136395585","1008"
"129",9,"Bisection Model","exp1","PS","DurProb5","0.752022684897175","1008"
"130",10,"Bisection Model","exp1","PS","DurProb5","0.845702267654223","1008"
"131",11,"Bisection Model","exp1","PS","DurProb5","0.977008461092485","1008"
"132",12,"Bisection Model","exp1","PS","DurProb5","0.926787887848392","1008"
"133",13,"Bisection Model","exp1","PS","DurProb5","0.58313844514199","1008"
"134",14,"Bisection Model","exp1","PS","DurProb5","0.857629734008697","1008"
"135",15,"Bisection Model","exp1","PS","DurProb5","0.441095567356875","1008"
"136",1,"Bisection Model","exp1","NS","DurProb5","0.859385278488873","1366"
"137",2,"Bisection Model","exp1","NS","DurProb5","0.86717266859215","1366"
"138",3,"Bisection Model","exp1","NS","DurProb5","0.949204165791401","1366"
"139",4,"Bisection Model","exp1","NS","DurProb5","0.992463972193615","1366"
"140",5,"Bisection Model","exp1","NS","DurProb5","0.985170696149057","1366"
"141",6,"Bisection Model","exp1","NS","DurProb5","0.935558518820563","1366"
"142",7,"Bisection Model","exp1","NS","DurProb5","0.961692560734224","1366"
"143",8,"Bisection Model","exp1","NS","DurProb5","0.959873285772354","1366"
"144",9,"Bisection Model","exp1","NS","DurProb5","0.990448556781448","1366"
"145",10,"Bisection Model","exp1","NS","DurProb5","0.992696632618278","1366"
"146",11,"Bisection Model","exp1","NS","DurProb5","0.99925346336095","1366"
"147",12,"Bisection Model","exp1","NS","DurProb5","0.998391068812197","1366"
"148",13,"Bisection Model","exp1","NS","DurProb5","0.984275887302011","1366"
"149",14,"Bisection Model","exp1","NS","DurProb5","0.992691502896567","1366"
"150",15,"Bisection Model","exp1","NS","DurProb5","0.951408684040902","1366"
"151",1,"Bisection Model","exp1","PS","DurProb6","0.740864131895527","1270"
"152",2,"Bisection Model","exp1","PS","DurProb6","0.767951468005319","1270"
"153",3,"Bisection Model","exp1","PS","DurProb6","0.915413314117921","1270"
"154",4,"Bisection Model","exp1","PS","DurProb6","0.984316192145078","1270"
"155",5,"Bisection Model","exp1","PS","DurProb6","0.972983796876312","1270"
"156",6,"Bisection Model","exp1","PS","DurProb6","0.8841547844889","1270"
"157",7,"Bisection Model","exp1","PS","DurProb6","0.923521814912397","1270"
"158",8,"Bisection Model","exp1","PS","DurProb6","0.921339004560262","1270"
"159",9,"Bisection Model","exp1","PS","DurProb6","0.975739056544979","1270"
"160",10,"Bisection Model","exp1","PS","DurProb6","0.982894323665218","1270"
"161",11,"Bisection Model","exp1","PS","DurProb6","0.998119232470158","1270"
"162",12,"Bisection Model","exp1","PS","DurProb6","0.995444497561494","1270"
"163",13,"Bisection Model","exp1","PS","DurProb6","0.957606319819585","1270"
"164",14,"Bisection Model","exp1","PS","DurProb6","0.983306527677547","1270"
"165",15,"Bisection Model","exp1","PS","DurProb6","0.892197890156356","1270"
"166",1,"Bisection Model","exp1","NS","DurProb6","0.944746933003879","1496"
"167",2,"Bisection Model","exp1","NS","DurProb6","0.942471211218338","1496"
"168",3,"Bisection Model","exp1","NS","DurProb6","0.975095089077004","1496"
"169",4,"Bisection Model","exp1","NS","DurProb6","0.997224577086936","1496"
"170",5,"Bisection Model","exp1","NS","DurProb6","0.993473506837052","1496"
"171",6,"Bisection Model","exp1","NS","DurProb6","0.971972121761199","1496"
"172",7,"Bisection Model","exp1","NS","DurProb6","0.98543000154568","1496"
"173",8,"Bisection Model","exp1","NS","DurProb6","0.984353534596989","1496"
"174",9,"Bisection Model","exp1","NS","DurProb6","0.997332782566433","1496"
"175",10,"Bisection Model","exp1","NS","DurProb6","0.997712543784954","1496"
"176",11,"Bisection Model","exp1","NS","DurProb6","0.999786592616078","1496"
"177",12,"Bisection Model","exp1","NS","DurProb6","0.999608035678853","1496"
"178",13,"Bisection Model","exp1","NS","DurProb6","0.995998103263175","1496"
"179",14,"Bisection Model","exp1","NS","DurProb6","0.997630633074525","1496"
"180",15,"Bisection Model","exp1","NS","DurProb6","0.98433570120217","1496"
"181",1,"Bisection Model","exp1","PS","DurProb7","0.97496271004615","1600"
"182",2,"Bisection Model","exp1","PS","DurProb7","0.971591451828401","1600"
"183",3,"Bisection Model","exp1","PS","DurProb7","0.986063346931159","1600"
"184",4,"Bisection Model","exp1","PS","DurProb7","0.998754677641328","1600"
"185",5,"Bisection Model","exp1","PS","DurProb7","0.996627221682207","1600"
"186",6,"Bisection Model","exp1","PS","DurProb7","0.985835078676696","1600"
"187",7,"Bisection Model","exp1","PS","DurProb7","0.993353286694261","1600"
"188",8,"Bisection Model","exp1","PS","DurProb7","0.99272005179676","1600"
"189",9,"Bisection Model","exp1","PS","DurProb7","0.999042393147184","1600"
"190",10,"Bisection Model","exp1","PS","DurProb7","0.999098702100264","1600"
"191",11,"Bisection Model","exp1","PS","DurProb7","0.999921655332386","1600"
"192",12,"Bisection Model","exp1","PS","DurProb7","0.999873437267884","1600"
"193",13,"Bisection Model","exp1","PS","DurProb7","0.99866992604207","1600"
"194",14,"Bisection Model","exp1","PS","DurProb7","0.999040235809484","1600"
"195",15,"Bisection Model","exp1","PS","DurProb7","0.993778170408645","1600"
"196",1,"Bisection Model","exp1","NS","DurProb7","0.97496271004615","1600"
"197",2,"Bisection Model","exp1","NS","DurProb7","0.971591451828401","1600"
"198",3,"Bisection Model","exp1","NS","DurProb7","0.986063346931159","1600"
"199",4,"Bisection Model","exp1","NS","DurProb7","0.998754677641328","1600"
