"","cond","NSub","jnd","pse","slope"
"74","U-shaped",14,213.639710264447,807.468580998845,1.33795684479477
"75","U-shaped",15,78.5779621392285,870.931784462964,1.25568407555513
"76","I T-shaped",1,56.5127495930524,927.774028536005,1.18629886168304
"77","I T-shaped",2,85.4703957730635,871.719088573784,1.25469585938492
"78","I T-shaped",3,61.4975310477793,846.73301982316,1.28644071443552
"79","I T-shaped",4,83.0722643064283,931.268048349741,1.18216114280069
"80","I T-shaped",5,160.646016283221,981.536087454187,1.12420509221943
"81","I T-shaped",6,62.110312532918,866.994878586989,1.26063732942004
"82","I T-shaped",7,95.6807814055383,1054.27438263674,1.04533552039385
"83","I T-shaped",8,68.5422638435447,920.664485799132,1.19476295640861
"84","I T-shaped",9,75.6518437161412,830.691152379117,1.30724404183331
"85","I T-shaped",10,81.8621392109435,895.29226885342,1.22546457844994
"86","I T-shaped",11,135.378432051402,813.216526440075,1.33028840185703
"87","I T-shaped",12,109.592723877811,685.4740848683,1.51155391399363
"88","I T-shaped",13,51.0588439378831,696.939679586282,1.49432202512314
"89","I T-shaped",14,96.3157379867767,761.109556624505,1.40144343719132
"90","I T-shaped",15,72.1726592139951,877.412405318486,1.24757277466847
