"","cond","NSub","curDur","n","RP","prob"
"60","PS",9,800,48,12,0.25
"61","PS",9,1008,48,32,0.666666666666667
"62","PS",9,1270,48,47,0.979166666666667
"63","PS",9,1600,48,48,1
"64","PS",10,400,48,0,0
"65","PS",10,504,48,1,0.0208333333333333
"66","PS",10,636,48,11,0.229166666666667
"67","PS",10,800,48,31,0.645833333333333
"68","PS",10,1008,48,45,0.9375
"69","PS",10,1270,48,47,0.979166666666667
"70","PS",10,1600,48,48,1
"71","PS",11,400,48,4,0.0833333333333333
"72","PS",11,504,48,10,0.208333333333333
"73","PS",11,636,48,26,0.541666666666667
"74","PS",11,800,48,42,0.875
"75","PS",11,1008,48,48,1
"76","PS",11,1270,48,48,1
"77","PS",11,1600,48,48,1
"78","PS",12,400,48,0,0
"79","PS",12,504,48,0,0
"80","PS",12,636,48,18,0.375
"81","PS",12,800,48,37,0.770833333333333
"82","PS",12,1008,48,48,1
"83","PS",12,1270,48,48,1
"84","PS",12,1600,48,48,1
"85","PS",13,400,48,0,0
"86","PS",13,504,48,0,0
"87","PS",13,636,48,0,0
"88","PS",13,800,48,9,0.1875
"89","PS",13,1008,48,36,0.75
"90","PS",13,1270,48,48,1
"91","PS",13,1600,48,48,1
"92","PS",14,400,48,1,0.0208333333333333
"93","PS",14,504,48,1,0.0208333333333333
"94","PS",14,636,48,14,0.291666666666667
"95","PS",14,800,48,26,0.541666666666667
"96","PS",14,1008,48,45,0.9375
"97","PS",14,1270,48,47,0.979166666666667
"98","PS",14,1600,48,47,0.979166666666667
"99","PS",15,400,48,0,0
"100","PS",15,504,48,0,0
"101","PS",15,636,48,0,0
"102","PS",15,800,48,6,0.125
"103","PS",15,1008,48,37,0.770833333333333
"104","PS",15,1270,48,48,1
"105","PS",15,1600,48,48,1
"106","NS",1,400,48,0,0
"107","NS",1,730,48,1,0.0208333333333333
"108","NS",1,992,48,8,0.166666666666667
"109","NS",1,1200,48,29,0.604166666666667
"110","NS",1,1366,48,35,0.729166666666667
"111","NS",1,1496,48,47,0.979166666666667
"112","NS",1,1600,48,47,0.979166666666667
"113","NS",2,400,48,1,0.0208333333333333
"114","NS",2,730,48,3,0.0625
"115","NS",2,992,48,17,0.354166666666667
"116","NS",2,1200,48,24,0.5
"117","NS",2,1366,48,37,0.770833333333333
"118","NS",2,1496,48,44,0.916666666666667
"119","NS",2,1600,48,46,0.958333333333333
"120","NS",3,400,48,2,0.0416666666666667
"121","NS",3,730,48,13,0.270833333333333
"122","NS",3,992,48,37,0.770833333333333
"123","NS",3,1200,48,38,0.791666666666667
"124","NS",3,1366,48,43,0.895833333333333
"125","NS",3,1496,48,47,0.979166666666667
"126","NS",3,1600,48,47,0.979166666666667
"127","NS",4,400,48,1,0.0208333333333333
"128","NS",4,730,48,17,0.354166666666667
"129","NS",4,992,48,36,0.75
"130","NS",4,1200,48,46,0.958333333333333
"131","NS",4,1366,48,46,0.958333333333333
"132","NS",4,1496,48,48,1
"133","NS",4,1600,48,48,1
"134","NS",5,400,48,6,0.125
"135","NS",5,730,48,16,0.333333333333333
"136","NS",5,992,48,43,0.895833333333333
"137","NS",5,1200,48,45,0.9375
"138","NS",5,1366,48,46,0.958333333333333
"139","NS",5,1496,48,46,0.958333333333333
"140","NS",5,1600,48,48,1
"141","NS",6,400,48,2,0.0416666666666667
"142","NS",6,730,48,8,0.166666666666667
"143","NS",6,992,48,25,0.520833333333333
"144","NS",6,1200,48,39,0.8125
"145","NS",6,1366,48,46,0.958333333333333
"146","NS",6,1496,48,48,1
"147","NS",6,1600,48,48,1
"148","NS",7,400,48,1,0.0208333333333333
"149","NS",7,730,48,6,0.125
"150","NS",7,992,48,27,0.5625
"151","NS",7,1200,48,41,0.854166666666667
"152","NS",7,1366,48,43,0.895833333333333
"153","NS",7,1496,48,48,1
"154","NS",7,1600,48,48,1
"155","NS",8,400,48,0,0
"156","NS",8,730,48,2,0.0416666666666667
"157","NS",8,992,48,23,0.479166666666667
"158","NS",8,1200,48,40,0.833333333333333
"159","NS",8,1366,48,43,0.895833333333333
"160","NS",8,1496,48,48,1
"161","NS",8,1600,48,48,1
"162","NS",9,400,48,0,0
"163","NS",9,730,48,10,0.208333333333333
"164","NS",9,992,48,40,0.833333333333333
"165","NS",9,1200,48,45,0.9375
"166","NS",9,1366,48,48,1
"167","NS",9,1496,48,48,1
"168","NS",9,1600,48,48,1
"169","NS",10,400,48,0,0
"170","NS",10,730,48,9,0.1875
"171","NS",10,992,48,33,0.6875
"172","NS",10,1200,48,45,0.9375
"173","NS",10,1366,48,48,1
"174","NS",10,1496,48,48,1
"175","NS",10,1600,48,48,1
"176","NS",11,400,48,1,0.0208333333333333
"177","NS",11,730,48,42,0.875
"178","NS",11,992,48,47,0.979166666666667
"179","NS",11,1200,48,48,1
"180","NS",11,1366,48,48,1
"181","NS",11,1496,48,47,0.979166666666667
"182","NS",11,1600,48,47,0.979166666666667
"183","NS",12,400,48,0,0
"184","NS",12,730,48,5,0.104166666666667
"185","NS",12,992,48,39,0.8125
"186","NS",12,1200,48,48,1
"187","NS",12,1366,48,48,1
"188","NS",12,1496,48,48,1
"189","NS",12,1600,48,48,1
"190","NS",13,400,48,0,0
"191","NS",13,730,48,1,0.0208333333333333
"192","NS",13,992,48,23,0.479166666666667
"193","NS",13,1200,48,39,0.8125
"194","NS",13,1366,48,47,0.979166666666667
"195","NS",13,1496,48,48,1
"196","NS",13,1600,48,48,1
"197","NS",14,400,48,1,0.0208333333333333
"198","NS",14,730,48,11,0.229166666666667
"199","NS",14,992,48,40,0.833333333333333
"200","NS",14,1200,48,48,1
"201","NS",14,1366,48,47,0.979166666666667
"202","NS",14,1496,48,47,0.979166666666667
"203","NS",14,1600,48,48,1
"204","NS",15,400,48,0,0
"205","NS",15,730,48,0,0
"206","NS",15,992,48,12,0.25
"207","NS",15,1200,48,34,0.708333333333333
"208","NS",15,1366,48,41,0.854166666666667
"209","NS",15,1496,48,48,1
"210","NS",15,1600,48,47,0.979166666666667
"211","DF",1,400,112,2,0.0178571428571429
"212","DF",1,600,96,6,0.0625
"213","DF",1,800,80,46,0.575
"214","DF",1,1000,64,61,0.953125
"215","DF",1,1200,48,48,1
"216","DF",1,1400,32,32,1
"217","DF",1,1600,16,16,1
"218","DF",2,400,112,7,0.0625
"219","DF",2,600,96,23,0.239583333333333
"220","DF",2,800,80,60,0.75
"221","DF",2,1000,64,62,0.96875
"222","DF",2,1200,48,48,1
"223","DF",2,1400,32,32,1
"224","DF",2,1600,16,16,1
"225","DF",3,400,84,0,0
"226","DF",3,600,72,2,0.0277777777777778
"227","DF",3,800,60,26,0.433333333333333
"228","DF",3,1000,48,46,0.958333333333333
"229","DF",3,1200,36,36,1
"230","DF",3,1400,24,24,1
"231","DF",3,1600,12,12,1
"232","DF",4,400,84,0,0
"233","DF",4,600,72,0,0
"234","DF",4,800,60,27,0.45
"235","DF",4,1000,48,46,0.958333333333333
"236","DF",4,1200,36,36,1
"237","DF",4,1400,24,24,1
"238","DF",4,1600,12,12,1
"239","DF",5,400,84,0,0
"240","DF",5,600,72,0,0
"241","DF",5,800,60,8,0.133333333333333
"242","DF",5,1000,48,22,0.458333333333333
"243","DF",5,1200,36,33,0.916666666666667
"244","DF",5,1400,24,24,1
"245","DF",5,1600,12,12,1
"246","DF",6,400,84,0,0
"247","DF",6,600,72,0,0
"248","DF",6,800,60,2,0.0333333333333333
"249","DF",6,1000,48,12,0.25
"250","DF",6,1200,36,19,0.527777777777778
"251","DF",6,1400,24,23,0.958333333333333
"252","DF",6,1600,12,11,0.916666666666667
"253","DF",7,400,84,1,0.0119047619047619
"254","DF",7,600,72,0,0
"255","DF",7,800,60,32,0.533333333333333
"256","DF",7,1000,48,43,0.895833333333333
"257","DF",7,1200,36,36,1
"258","DF",7,1400,24,24,1
"259","DF",7,1600,12,12,1
"260","DF",8,400,84,0,0
"261","DF",8,600,72,2,0.0277777777777778
"262","DF",8,800,60,29,0.483333333333333
"263","DF",8,1000,48,44,0.916666666666667
"264","DF",8,1200,36,36,1
"265","DF",8,1400,24,24,1
"266","DF",8,1600,12,12,1
"267","DF",9,400,84,0,0
"268","DF",9,600,72,6,0.0833333333333333
"269","DF",9,800,60,32,0.533333333333333
"270","DF",9,1000,48,47,0.979166666666667
"271","DF",9,1200,36,35,0.972222222222222
"272","DF",9,1400,24,24,1
"273","DF",9,1600,12,12,1
"274","DF",10,400,84,31,0.369047619047619
"275","DF",10,600,72,34,0.472222222222222
"276","DF",10,800,60,46,0.766666666666667
"277","DF",10,1000,48,38,0.791666666666667
"278","DF",10,1200,36,29,0.805555555555556
"279","DF",10,1400,24,23,0.958333333333333
"280","DF",10,1600,12,9,0.75
"281","DF",11,400,84,1,0.0119047619047619
"282","DF",11,600,72,5,0.0694444444444444
"283","DF",11,800,60,32,0.533333333333333
"284","DF",11,1000,48,38,0.791666666666667
"285","DF",11,1200,36,35,0.972222222222222
"286","DF",11,1400,24,23,0.958333333333333
"287","DF",11,1600,12,12,1
"288","DF",12,400,84,0,0
"289","DF",12,600,72,0,0
"290","DF",12,800,60,16,0.266666666666667
"291","DF",12,1000,48,43,0.895833333333333
"292","DF",12,1200,36,36,1
"293","DF",12,1400,24,24,1
"294","DF",12,1600,12,12,1
"295","DF",13,400,84,0,0
"296","DF",13,600,72,15,0.208333333333333
"297","DF",13,800,60,45,0.75
"298","DF",13,1000,48,41,0.854166666666667
"299","DF",13,1200,36,34,0.944444444444444
"300","DF",13,1400,24,24,1
"301","DF",13,1600,12,12,1
"302","DF",14,400,84,0,0
"303","DF",14,600,72,16,0.222222222222222
"304","DF",14,800,60,47,0.783333333333333
"305","DF",14,1000,48,47,0.979166666666667
"306","DF",14,1200,36,36,1
"307","DF",14,1400,24,24,1
"308","DF",14,1600,12,12,1
"309","DF",15,400,84,0,0
"310","DF",15,600,72,1,0.0138888888888889
"311","DF",15,800,60,10,0.166666666666667
"312","DF",15,1000,48,35,0.729166666666667
"313","DF",15,1200,36,34,0.944444444444444
"314","DF",15,1400,24,24,1
"315","DF",15,1600,12,12,1
"316","AF",1,400,16,0,0
"317","AF",1,600,32,0,0
"318","AF",1,800,48,14,0.291666666666667
"319","AF",1,1000,64,42,0.65625
"320","AF",1,1200,80,80,1
"321","AF",1,1400,96,96,1
"322","AF",1,1600,112,112,1
"323","AF",2,400,16,1,0.0625
"324","AF",2,600,32,0,0
"325","AF",2,800,48,17,0.354166666666667
"326","AF",2,1000,64,54,0.84375
"327","AF",2,1200,80,75,0.9375
"328","AF",2,1400,96,93,0.96875
"329","AF",2,1600,112,111,0.991071428571429
"330","AF",3,400,12,1,0.0833333333333333
"331","AF",3,600,24,2,0.0833333333333333
"332","AF",3,800,36,15,0.416666666666667
"333","AF",3,1000,48,40,0.833333333333333
"334","AF",3,1200,60,58,0.966666666666667
"335","AF",3,1400,72,71,0.986111111111111
"336","AF",3,1600,84,84,1
"337","AF",4,400,12,0,0
"338","AF",4,600,24,0,0
"339","AF",4,800,36,3,0.0833333333333333
"340","AF",4,1000,48,16,0.333333333333333
"341","AF",4,1200,60,46,0.766666666666667
"342","AF",4,1400,72,71,0.986111111111111
"343","AF",4,1600,84,84,1
"344","AF",5,400,12,0,0
"345","AF",5,600,24,0,0
"346","AF",5,800,36,1,0.0277777777777778
"347","AF",5,1000,48,26,0.541666666666667
"348","AF",5,1200,60,50,0.833333333333333
"349","AF",5,1400,72,69,0.958333333333333
"350","AF",5,1600,84,84,1
"351","AF",6,400,12,0,0
"352","AF",6,600,24,0,0
"353","AF",6,800,36,0,0
"354","AF",6,1000,48,3,0.0625
"355","AF",6,1200,60,9,0.15
"356","AF",6,1400,72,38,0.527777777777778
"357","AF",6,1600,84,65,0.773809523809524
"358","AF",7,400,12,0,0
"359","AF",7,600,24,1,0.0416666666666667
"360","AF",7,800,36,5,0.138888888888889
"361","AF",7,1000,48,22,0.458333333333333
"362","AF",7,1200,60,47,0.783333333333333
"363","AF",7,1400,72,70,0.972222222222222
"364","AF",7,1600,84,83,0.988095238095238
