"","xmean","xmeanhat","alphaMAP","betaMAP","PSEmap","JNDmap","NSub","model","cond","Exp","waic"
"1",1000,1000,-1.08070018837152,7.97941105405227,1135.43608432388,137.680874092855,1,"Bisection Model","PS","exp1",73.9398525106946
"2",1000,1000,-0.727123122544202,7.03017887900764,1103.4288223754,156.270886925595,2,"Bisection Model","PS","exp1",73.9398525106946
"3",1000,1000,0.858177396761823,5.64734467556975,848.038778211241,194.536078773565,3,"Bisection Model","PS","exp1",73.9398525106946
"4",1000,1000,2.04804538689649,7.79003425447103,737.094174429204,141.027914997623,4,"Bisection Model","PS","exp1",73.9398525106946
"5",1000,1000,1.87725099391869,6.35533971918013,704.618308876042,172.864447411449,5,"Bisection Model","PS","exp1",73.9398525106946
"6",1000,1000,0.202469303388326,6.59652423745342,969.306668769781,166.544114615764,6,"Bisection Model","PS","exp1",73.9398525106946
"7",1000,1000,0.445696618361033,7.49804991399635,940.558328702365,146.519735300424,7,"Bisection Model","PS","exp1",73.9398525106946
"8",1000,1000,0.456150986095979,7.51367956520274,939.29059894855,146.214950895163,8,"Bisection Model","PS","exp1",73.9398525106946
"9",1000,1000,1.05583013359962,9.7706629257745,891.938741350457,112.439892463185,9,"Bisection Model","PS","exp1",73.9398525106946
"10",1000,1000,1.63826687281896,9.20296803802883,821.984943764962,119.375867016856,10,"Bisection Model","PS","exp1",73.9398525106946
"11",1000,1000,3.67947795233499,9.8192031300348,625.277336296235,111.884057608269,11,"Bisection Model","PS","exp1",73.9398525106946
"12",1000,1000,2.40935806092023,10.9542628741827,780.052926555318,100.290845790943,12,"Bisection Model","PS","exp1",73.9398525106946
"13",1000,1000,0.294435744064627,10.4868106250124,971.923232468568,104.76133573422,13,"Bisection Model","PS","exp1",73.9398525106946
"14",1000,1000,1.7398948811616,8.83456582098049,803.058246843363,124.353851782858,14,"Bisection Model","PS","exp1",73.9398525106946
"15",1000,1000,-0.293741848522744,9.09761739254407,1032.28777776074,120.758242654662,15,"Bisection Model","PS","exp1",73.9398525106946
"16",1000,1000,-1.08070018837152,7.97941105405227,1135.43608432388,137.680874092855,1,"Bisection Model","NS","exp1",73.9398525106946
"17",1000,1000,-0.727123122544202,7.03017887900764,1103.4288223754,156.270886925595,2,"Bisection Model","NS","exp1",73.9398525106946
"18",1000,1000,0.858177396761823,5.64734467556975,848.038778211241,194.536078773565,3,"Bisection Model","NS","exp1",73.9398525106946
"19",1000,1000,2.04804538689649,7.79003425447103,737.094174429204,141.027914997623,4,"Bisection Model","NS","exp1",73.9398525106946
"20",1000,1000,1.87725099391869,6.35533971918013,704.618308876042,172.864447411449,5,"Bisection Model","NS","exp1",73.9398525106946
"21",1000,1000,0.202469303388326,6.59652423745342,969.306668769781,166.544114615764,6,"Bisection Model","NS","exp1",73.9398525106946
"22",1000,1000,0.445696618361033,7.49804991399635,940.558328702365,146.519735300424,7,"Bisection Model","NS","exp1",73.9398525106946
"23",1000,1000,0.456150986095979,7.51367956520274,939.29059894855,146.214950895163,8,"Bisection Model","NS","exp1",73.9398525106946
"24",1000,1000,1.05583013359962,9.7706629257745,891.938741350457,112.439892463185,9,"Bisection Model","NS","exp1",73.9398525106946
"25",1000,1000,1.63826687281896,9.20296803802883,821.984943764962,119.375867016856,10,"Bisection Model","NS","exp1",73.9398525106946
"26",1000,1000,3.67947795233499,9.8192031300348,625.277336296235,111.884057608269,11,"Bisection Model","NS","exp1",73.9398525106946
"27",1000,1000,2.40935806092023,10.9542628741827,780.052926555318,100.290845790943,12,"Bisection Model","NS","exp1",73.9398525106946
"28",1000,1000,0.294435744064627,10.4868106250124,971.923232468568,104.76133573422,13,"Bisection Model","NS","exp1",73.9398525106946
"29",1000,1000,1.7398948811616,8.83456582098049,803.058246843363,124.353851782858,14,"Bisection Model","NS","exp1",73.9398525106946
"30",1000,1000,-0.293741848522744,9.09761739254407,1032.28777776074,120.758242654662,15,"Bisection Model","NS","exp1",73.9398525106946
"31",1000,1000,1.7683187600742,10.8618660017471,837.199357846086,101.143973649776,1,"Bisection Model","DF","exp2",60.293227181329
"32",1000,1000,1.83935207652251,7.66232269877698,759.948497494617,143.378493944593,2,"Bisection Model","DF","exp2",60.293227181329
"33",1000,1000,1.88714937530485,11.2430166245461,832.149196401189,97.7150817574696,3,"Bisection Model","DF","exp2",60.293227181329
"34",1000,1000,0.54854792577417,8.86769558565463,938.140870931388,123.889265035817,4,"Bisection Model","DF","exp2",60.293227181329
"35",1000,1000,-0.144930663256707,10.4285495272923,1013.89749004667,105.346605085679,5,"Bisection Model","DF","exp2",60.293227181329
"36",1000,1000,-2.03143701427046,6.06335001649341,1335.03541915683,181.188993820196,6,"Bisection Model","DF","exp2",60.293227181329
"37",1000,1000,0.667880831981803,7.94997622532236,915.98958121982,138.190638252325,7,"Bisection Model","DF","exp2",60.293227181329
"38",1000,1000,2.67492062280472,13.6431789505332,803.937144524504,80.5246557749781,8,"Bisection Model","DF","exp2",60.293227181329
"39",1000,1000,2.22655160989503,12.0492548056536,815.212505187432,91.1767828291447,9,"Bisection Model","DF","exp2",60.293227181329
"40",1000,1000,0.653505692145594,1.88605336085104,653.506255066552,582.492686300447,10,"Bisection Model","DF","exp2",60.293227181329
"41",1000,1000,0.475106575723624,6.62445923194651,928.279945715053,165.841806885918,11,"Bisection Model","DF","exp2",60.293227181329
"42",1000,1000,0.651463729614188,12.031747744012,945.854605376147,91.309451630988,12,"Bisection Model","DF","exp2",60.293227181329
