"","NSub","model","exp","cond","DurID","Prob","Dur"
"1",1,"model1","exp1","PS","DurProb1","6.17877540873093e-06","400"
"2",2,"model1","exp1","PS","DurProb1","0.000121684370881813","400"
"3",3,"model1","exp1","PS","DurProb1","0.00954982391238216","400"
"4",4,"model1","exp1","PS","DurProb1","0.0109016974271762","400"
"5",5,"model1","exp1","PS","DurProb1","0.0519789666302055","400"
"6",6,"model1","exp1","PS","DurProb1","0.0018312133302024","400"
"7",7,"model1","exp1","PS","DurProb1","0.000543588245941833","400"
"8",8,"model1","exp1","PS","DurProb1","0.000494873957461785","400"
"9",9,"model1","exp1","PS","DurProb1","0.000165500859317518","400"
"10",10,"model1","exp1","PS","DurProb1","0.000921431992306742","400"
"11",11,"model1","exp1","PS","DurProb1","0.0343724200986386","400"
"12",12,"model1","exp1","PS","DurProb1","0.000424275107687673","400"
"13",13,"model1","exp1","PS","DurProb1","4.8949913680415e-06","400"
"14",14,"model1","exp1","PS","DurProb1","0.00201593882142549","400"
"15",15,"model1","exp1","PS","DurProb1","5.78457646804096e-06","400"
"16",1,"model1","exp1","NS","DurProb1","6.17877540873093e-06","400"
"17",2,"model1","exp1","NS","DurProb1","0.000121684370881813","400"
"18",3,"model1","exp1","NS","DurProb1","0.00954982391238216","400"
"19",4,"model1","exp1","NS","DurProb1","0.0109016974271762","400"
"20",5,"model1","exp1","NS","DurProb1","0.0519789666302055","400"
"21",6,"model1","exp1","NS","DurProb1","0.0018312133302024","400"
"22",7,"model1","exp1","NS","DurProb1","0.000543588245941833","400"
"23",8,"model1","exp1","NS","DurProb1","0.000494873957461785","400"
"24",9,"model1","exp1","NS","DurProb1","0.000165500859317518","400"
"25",10,"model1","exp1","NS","DurProb1","0.000921431992306742","400"
"26",11,"model1","exp1","NS","DurProb1","0.0343724200986386","400"
"27",12,"model1","exp1","NS","DurProb1","0.000424275107687673","400"
"28",13,"model1","exp1","NS","DurProb1","4.8949913680415e-06","400"
"29",14,"model1","exp1","NS","DurProb1","0.00201593882142549","400"
"30",15,"model1","exp1","NS","DurProb1","5.78457646804096e-06","400"
"31",1,"model1","exp1","PS","DurProb2","0.000299010528481785","504"
"32",2,"model1","exp1","PS","DurProb2","0.00246326884573132","504"
"33",3,"model1","exp1","PS","DurProb2","0.0684982014558407","504"
"34",4,"model1","exp1","PS","DurProb2","0.101943927189017","504"
"35",5,"model1","exp1","PS","DurProb2","0.229067129632344","504"
"36",6,"model1","exp1","PS","DurProb2","0.0194380141260006","504"
"37",7,"model1","exp1","PS","DurProb2","0.00960941070697475","504"
"38",8,"model1","exp1","PS","DurProb2","0.00909177237228636","504"
"39",9,"model1","exp1","PS","DurProb2","0.00507186543748036","504"
"40",10,"model1","exp1","PS","DurProb2","0.0192577417450436","504"
"41",11,"model1","exp1","PS","DurProb2","0.266156437745605","504"
"42",12,"model1","exp1","PS","DurProb2","0.0156578649035968","504"
"43",13,"model1","exp1","PS","DurProb2","0.000396977914504988","504"
"44",14,"model1","exp1","PS","DurProb2","0.0324189321410185","504"
"45",15,"model1","exp1","PS","DurProb2","0.000372328427344173","504"
"46",1,"model1","exp1","NS","DurProb2","0.0294512140905397","730"
"47",2,"model1","exp1","NS","DurProb2","0.0816960825823098","730"
"48",3,"model1","exp1","NS","DurProb2","0.452430690710926","730"
"49",4,"model1","exp1","NS","DurProb2","0.645895150694023","730"
"50",5,"model1","exp1","NS","DurProb2","0.689693040464125","730"
"51",6,"model1","exp1","NS","DurProb2","0.252201130683595","730"
"52",7,"model1","exp1","NS","DurProb2","0.230698066077513","730"
"53",8,"model1","exp1","NS","DurProb2","0.228822586373426","730"
