"","NSub","model","exp","cond","DurID","Prob","Dur"
"54",9,"model1","exp1","NS","DurProb2","0.231856897752908","730"
"55",10,"model1","exp1","NS","DurProb2","0.428287939839077","730"
"56",11,"model1","exp1","NS","DurProb2","0.851932311941296","730"
"57",12,"model1","exp1","NS","DurProb2","0.54335142533751","730"
"58",13,"model1","exp1","NS","DurProb2","0.0693495038962396","730"
"59",14,"model1","exp1","NS","DurProb2","0.487056463977478","730"
"60",15,"model1","exp1","NS","DurProb2","0.0504001905060011","730"
"61",1,"model1","exp1","PS","DurProb3","0.00657575453268833","636"
"62",2,"model1","exp1","PS","DurProb3","0.026573302283387","636"
"63",3,"model1","exp1","PS","DurProb3","0.271265368796378","636"
"64",4,"model1","exp1","PS","DurProb3","0.422085332254992","636"
"65",5,"model1","exp1","PS","DurProb3","0.533806234672083","636"
"66",6,"model1","exp1","PS","DurProb3","0.117015449746617","636"
"67",7,"model1","exp1","PS","DurProb3","0.0882461225498495","636"
"68",8,"model1","exp1","PS","DurProb3","0.0862136384967028","636"
"69",9,"model1","exp1","PS","DurProb3","0.0728977753100839","636"
"70",10,"model1","exp1","PS","DurProb3","0.184054983746652","636"
"71",11,"model1","exp1","PS","DurProb3","0.698211395903525","636"
"72",12,"model1","exp1","PS","DurProb3","0.222986186415205","636"
"73",13,"model1","exp1","PS","DurProb3","0.0130989069918309","636"
"74",14,"model1","exp1","PS","DurProb3","0.239746155602457","636"
"75",15,"model1","exp1","PS","DurProb3","0.010245103129522","636"
"76",1,"model1","exp1","NS","DurProb3","0.315571065811383","992"
"77",2,"model1","exp1","NS","DurProb3","0.423505235766457","992"
"78",3,"model1","exp1","NS","DurProb3","0.774518773873452","992"
"79",4,"model1","exp1","NS","DurProb3","0.903488175776412","992"
"80",5,"model1","exp1","NS","DurProb3","0.879096543983387","992"
"81",6,"model1","exp1","NS","DurProb3","0.641596023223511","992"
"82",7,"model1","exp1","NS","DurProb3","0.69348405099332","992"
"83",8,"model1","exp1","NS","DurProb3","0.696891921845672","992"
"84",9,"model1","exp1","NS","DurProb3","0.76957199223207","992"
"85",10,"model1","exp1","NS","DurProb3","0.864832317224048","992"
"86",11,"model1","exp1","NS","DurProb3","0.967005047256484","992"
"87",12,"model1","exp1","NS","DurProb3","0.937921317895384","992"
"88",13,"model1","exp1","NS","DurProb3","0.619252110937525","992"
"89",14,"model1","exp1","NS","DurProb3","0.871912296512225","992"
"90",15,"model1","exp1","NS","DurProb3","0.496241933362557","992"
"91",1,"model1","exp1","PS","DurProb4","0.0695456199675512","800"
"92",2,"model1","exp1","PS","DurProb4","0.15185667670069","800"
"93",3,"model1","exp1","PS","DurProb4","0.569839957235003","800"
"94",4,"model1","exp1","PS","DurProb4","0.75821154043743","800"
"95",5,"model1","exp1","PS","DurProb4","0.76698145097423","800"
"96",6,"model1","exp1","PS","DurProb4","0.36960697208136","800"
"97",7,"model1","exp1","PS","DurProb4","0.36938020355997","800"
"98",8,"model1","exp1","PS","DurProb4","0.368970639168312","800"
"99",9,"model1","exp1","PS","DurProb4","0.400952422697764","800"
"100",10,"model1","exp1","PS","DurProb4","0.603901268660064","800"
"101",11,"model1","exp1","PS","DurProb4","0.907978132552663","800"
"102",12,"model1","exp1","PS","DurProb4","0.734155483422935","800"
"103",13,"model1","exp1","PS","DurProb4","0.17146202026717","800"
"104",14,"model1","exp1","PS","DurProb4","0.645837264061518","800"
"105",15,"model1","exp1","PS","DurProb4","0.1225693719623","800"
"106",1,"model1","exp1","NS","DurProb4","0.631783249879223","1200"
"107",2,"model1","exp1","NS","DurProb4","0.670659517437017","1200"
"108",3,"model1","exp1","NS","DurProb4","0.872377241399307","1200"
"109",4,"model1","exp1","NS","DurProb4","0.95375664145013","1200"
"110",5,"model1","exp1","NS","DurProb4","0.92799596705929","1200"
"111",6,"model1","exp1","NS","DurProb4","0.800343641421924","1200"
"112",7,"model1","exp1","NS","DurProb4","0.857224050086833","1200"
"113",8,"model1","exp1","NS","DurProb4","0.860732879716215","1200"
"114",9,"model1","exp1","NS","DurProb4","0.914259714098055","1200"
"115",10,"model1","exp1","NS","DurProb4","0.947443716434526","1200"
"116",11,"model1","exp1","NS","DurProb4","0.984694210417683","1200"
"117",12,"model1","exp1","NS","DurProb4","0.980972273672757","1200"
"118",13,"model1","exp1","NS","DurProb4","0.878186007461249","1200"
"119",14,"model1","exp1","NS","DurProb4","0.946306378060857","1200"
"120",15,"model1","exp1","NS","DurProb4","0.801496771041521","1200"
"121",1,"model1","exp1","PS","DurProb5","0.342119249402613","1008"
"122",2,"model1","exp1","PS","DurProb5","0.446447897347273","1008"
"123",3,"model1","exp1","PS","DurProb5","0.785333249319145","1008"
"124",4,"model1","exp1","PS","DurProb5","0.909614089431168","1008"
"125",5,"model1","exp1","PS","DurProb5","0.884558039036779","1008"
"126",6,"model1","exp1","PS","DurProb5","0.658388469914401","1008"
"127",7,"model1","exp1","PS","DurProb5","0.712146600199315","1008"
"128",8,"model1","exp1","PS","DurProb5","0.715672289783215","1008"
"129",9,"model1","exp1","PS","DurProb5","0.787881926344593","1008"
"130",10,"model1","exp1","PS","DurProb5","0.875542435792299","1008"
"131",11,"model1","exp1","PS","DurProb5","0.969226670230985","1008"
"132",12,"model1","exp1","PS","DurProb5","0.94415240731021","1008"
"133",13,"model1","exp1","PS","DurProb5","0.650839020745933","1008"
"134",14,"model1","exp1","PS","DurProb5","0.881330343090519","1008"
"135",15,"model1","exp1","PS","DurProb5","0.528507344299611","1008"
"136",1,"model1","exp1","NS","DurProb5","0.78608279406926","1366"
"137",2,"model1","exp1","NS","DurProb5","0.786185058780176","1366"
"138",3,"model1","exp1","NS","DurProb5","0.910598722790097","1366"
"139",4,"model1","exp1","NS","DurProb5","0.970237420234762","1366"
"140",5,"model1","exp1","NS","DurProb5","0.947252667278344","1366"
"141",6,"model1","exp1","NS","DurProb5","0.864790403083635","1366"
"142",7,"model1","exp1","NS","DurProb5","0.913572914835388","1366"
"143",8,"model1","exp1","NS","DurProb5","0.916406759800247","1366"
"144",9,"model1","exp1","NS","DurProb5","0.954331923780005","1366"
"145",10,"model1","exp1","NS","DurProb5","0.970466106638935","1366"
"146",11,"model1","exp1","NS","DurProb5","0.990241278438905","1366"
"147",12,"model1","exp1","NS","DurProb5","0.99056642155395","1366"
"148",13,"model1","exp1","NS","DurProb5","0.944712600290237","1366"
"149",14,"model1","exp1","NS","DurProb5","0.968342661687863","1366"
"150",15,"model1","exp1","NS","DurProb5","0.901435680040159","1366"
"151",1,"model1","exp1","PS","DurProb6","0.707920742883657","1270"
"152",2,"model1","exp1","PS","DurProb6","0.726946432430343","1270"
"153",3,"model1","exp1","PS","DurProb6","0.891197796501438","1270"
"154",4,"model1","exp1","PS","DurProb6","0.962098665901048","1270"
"155",5,"model1","exp1","PS","DurProb6","0.937425143578356","1270"
"156",6,"model1","exp1","PS","DurProb6","0.832068100110791","1270"
"157",7,"model1","exp1","PS","DurProb6","0.88584404643614","1270"
"158",8,"model1","exp1","PS","DurProb6","0.889075289727724","1270"
"159",9,"model1","exp1","PS","DurProb6","0.935351514322066","1270"
"160",10,"model1","exp1","PS","DurProb6","0.959463881795636","1270"
"161",11,"model1","exp1","PS","DurProb6","0.987516464200479","1270"
"162",12,"model1","exp1","PS","DurProb6","0.986146821304512","1270"
"163",13,"model1","exp1","PS","DurProb6","0.914258389112426","1270"
"164",14,"model1","exp1","PS","DurProb6","0.95768352751088","1270"
"165",15,"model1","exp1","PS","DurProb6","0.854023095253466","1270"
"166",1,"model1","exp1","NS","DurProb6","0.855683885467861","1496"
"167",2,"model1","exp1","NS","DurProb6","0.842012778291074","1496"
"168",3,"model1","exp1","NS","DurProb6","0.929004768244006","1496"
"169",4,"model1","exp1","NS","DurProb6","0.977508491415626","1496"
"170",5,"model1","exp1","NS","DurProb6","0.956746078760301","1496"
"171",6,"model1","exp1","NS","DurProb6","0.895590094613587","1496"
"172",7,"model1","exp1","NS","DurProb6","0.937811920693189","1496"
"173",8,"model1","exp1","NS","DurProb6","0.940167714339443","1496"
"174",9,"model1","exp1","NS","DurProb6","0.969594811275801","1496"
"175",10,"model1","exp1","NS","DurProb6","0.979555193684085","1496"
"176",11,"model1","exp1","NS","DurProb6","0.992652651963508","1496"
"177",12,"model1","exp1","NS","DurProb6","0.993945381452239","1496"
"178",13,"model1","exp1","NS","DurProb6","0.967087575435671","1496"
"179",14,"model1","exp1","NS","DurProb6","0.977400304759664","1496"
"180",15,"model1","exp1","NS","DurProb6","0.938594415457115","1496"
"181",1,"model1","exp1","PS","DurProb7","0.891548520184092","1600"
"182",2,"model1","exp1","PS","DurProb7","0.872895962907026","1600"
"183",3,"model1","exp1","PS","DurProb7","0.939494957485136","1600"
"184",4,"model1","exp1","PS","DurProb7","0.981444995431043","1600"
"185",5,"model1","exp1","PS","DurProb7","0.96226804170536","1600"
"186",6,"model1","exp1","PS","DurProb7","0.912903771597533","1600"
"187",7,"model1","exp1","PS","DurProb7","0.950549702869306","1600"
"188",8,"model1","exp1","PS","DurProb7","0.952592341057296","1600"
"189",9,"model1","exp1","PS","DurProb7","0.977043654764259","1600"
"190",10,"model1","exp1","PS","DurProb7","0.984124114429549","1600"
"191",11,"model1","exp1","PS","DurProb7","0.993949544881736","1600"
"192",12,"model1","exp1","PS","DurProb7","0.995530796654541","1600"
"193",13,"model1","exp1","PS","DurProb7","0.977038232598185","1600"
"194",14,"model1","exp1","PS","DurProb7","0.982075729224235","1600"
"195",15,"model1","exp1","PS","DurProb7","0.955962356211232","1600"
"196",1,"model1","exp1","NS","DurProb7","0.891548520184092","1600"
"197",2,"model1","exp1","NS","DurProb7","0.872895962907026","1600"
"198",3,"model1","exp1","NS","DurProb7","0.939494957485136","1600"
"199",4,"model1","exp1","NS","DurProb7","0.981444995431043","1600"
"200",5,"model1","exp1","NS","DurProb7","0.96226804170536","1600"
"201",6,"model1","exp1","NS","DurProb7","0.912903771597533","1600"
"202",7,"model1","exp1","NS","DurProb7","0.950549702869306","1600"
"203",8,"model1","exp1","NS","DurProb7","0.952592341057296","1600"
"204",9,"model1","exp1","NS","DurProb7","0.977043654764259","1600"
"205",10,"model1","exp1","NS","DurProb7","0.984124114429549","1600"
"206",11,"model1","exp1","NS","DurProb7","0.993949544881736","1600"
"207",12,"model1","exp1","NS","DurProb7","0.995530796654541","1600"
"208",13,"model1","exp1","NS","DurProb7","0.977038232598185","1600"
"209",14,"model1","exp1","NS","DurProb7","0.982075729224235","1600"
"210",15,"model1","exp1","NS","DurProb7","0.955962356211232","1600"
"211",1,"model1","exp2","DF","DurProb1","0.000108757674528324","400"
"212",2,"model1","exp2","DF","DurProb1","0.00744802930489776","400"
"213",3,"model1","exp2","DF","DurProb1","4.09260574967279e-05","400"
"214",4,"model1","exp2","DF","DurProb1","1.38637476472216e-05","400"
"215",5,"model1","exp2","DF","DurProb1","1.66867771107495e-07","400"
"216",6,"model1","exp2","DF","DurProb1","6.86761995645125e-07","400"
"217",7,"model1","exp2","DF","DurProb1","0.000109162205106131","400"
"218",8,"model1","exp2","DF","DurProb1","9.52793943224972e-06","400"
"219",9,"model1","exp2","DF","DurProb1","2.20944948145949e-05","400"
"220",10,"model1","exp2","DF","DurProb1","0.302409507300655","400"
"221",11,"model1","exp2","DF","DurProb1","0.00069769032915539","400"
"222",12,"model1","exp2","DF","DurProb1","2.08495493333708e-07","400"
"223",13,"model1","exp2","DF","DurProb1","0.00632287466924397","400"
"224",14,"model1","exp2","DF","DurProb1","0.00150477587080579","400"
"225",15,"model1","exp2","DF","DurProb1","8.78258383360469e-07","400"
"226",1,"model1","exp2","AF","DurProb1","0.000108757674528324","400"
"227",2,"model1","exp2","AF","DurProb1","0.00744802930489776","400"
"228",3,"model1","exp2","AF","DurProb1","4.09260574967279e-05","400"
"229",4,"model1","exp2","AF","DurProb1","1.38637476472216e-05","400"
"230",5,"model1","exp2","AF","DurProb1","1.66867771107495e-07","400"
"231",6,"model1","exp2","AF","DurProb1","6.86761995645125e-07","400"
"232",7,"model1","exp2","AF","DurProb1","0.000109162205106131","400"
"233",8,"model1","exp2","AF","DurProb1","9.52793943224972e-06","400"
"234",9,"model1","exp2","AF","DurProb1","2.20944948145949e-05","400"
"235",10,"model1","exp2","AF","DurProb1","0.302409507300655","400"
"236",11,"model1","exp2","AF","DurProb1","0.00069769032915539","400"
"237",12,"model1","exp2","AF","DurProb1","2.08495493333708e-07","400"
"238",13,"model1","exp2","AF","DurProb1","0.00632287466924397","400"
"239",14,"model1","exp2","AF","DurProb1","0.00150477587080579","400"
"240",15,"model1","exp2","AF","DurProb1","8.78258383360469e-07","400"
"241",1,"model1","exp2","DF","DurProb2","0.045681125915214","600"
"242",2,"model1","exp2","DF","DurProb2","0.245853754254047","600"
"243",3,"model1","exp2","DF","DurProb2","0.0319009689411933","600"
"244",4,"model1","exp2","DF","DurProb2","0.0112453548368929","600"
"245",5,"model1","exp2","DF","DurProb2","0.00105604330676768","600"
"246",6,"model1","exp2","DF","DurProb2","0.000672890104668376","600"
"247",7,"model1","exp2","DF","DurProb2","0.0294283906889662","600"
"248",8,"model1","exp2","DF","DurProb2","0.0225165007013424","600"
"249",9,"model1","exp2","DF","DurProb2","0.0294142453250785","600"
"250",10,"model1","exp2","DF","DurProb2","0.531183116697993","600"
"251",11,"model1","exp2","DF","DurProb2","0.060458847520752","600"
"252",12,"model1","exp2","DF","DurProb2","0.00173288124539374","600"
"253",13,"model1","exp2","DF","DurProb2","0.118869532634096","600"
"254",14,"model1","exp2","DF","DurProb2","0.133646715165286","600"
"255",15,"model1","exp2","DF","DurProb2","0.00242134556482766","600"
"256",1,"model1","exp2","AF","DurProb2","0.045681125915214","600"
"257",2,"model1","exp2","AF","DurProb2","0.245853754254047","600"
"258",3,"model1","exp2","AF","DurProb2","0.0319009689411933","600"
"259",4,"model1","exp2","AF","DurProb2","0.0112453548368929","600"
"260",5,"model1","exp2","AF","DurProb2","0.00105604330676768","600"
"261",6,"model1","exp2","AF","DurProb2","0.000672890104668376","600"
"262",7,"model1","exp2","AF","DurProb2","0.0294283906889662","600"
"263",8,"model1","exp2","AF","DurProb2","0.0225165007013424","600"
"264",9,"model1","exp2","AF","DurProb2","0.0294142453250785","600"
"265",10,"model1","exp2","AF","DurProb2","0.531183116697993","600"
"266",11,"model1","exp2","AF","DurProb2","0.060458847520752","600"
"267",12,"model1","exp2","AF","DurProb2","0.00173288124539374","600"
"268",13,"model1","exp2","AF","DurProb2","0.118869532634096","600"
"269",14,"model1","exp2","AF","DurProb2","0.133646715165286","600"
"270",15,"model1","exp2","AF","DurProb2","0.00242134556482766","600"
"271",1,"model1","exp2","DF","DurProb3","0.501042698464012","800"
"272",2,"model1","exp2","DF","DurProb3","0.6824146325736","800"
"273",3,"model1","exp2","DF","DurProb3","0.483207400437603","800"
"274",4,"model1","exp2","DF","DurProb3","0.245709626920506","800"
"275",5,"model1","exp2","DF","DurProb3","0.0776135506837123","800"
"276",6,"model1","exp2","DF","DurProb3","0.0206485706614963","800"
"277",7,"model1","exp2","DF","DurProb3","0.335680205364697","800"
"278",8,"model1","exp2","DF","DurProb3","0.531094014901796","800"
"279",9,"model1","exp2","DF","DurProb3","0.528830233279811","800"
"280",10,"model1","exp2","DF","DurProb3","0.646860369072839","800"
"281",11,"model1","exp2","DF","DurProb3","0.381868619673715","800"
"282",12,"model1","exp2","DF","DurProb3","0.13673475800678","800"
"283",13,"model1","exp2","DF","DurProb3","0.383161757053028","800"
"284",14,"model1","exp2","DF","DurProb3","0.609488660329984","800"
"285",15,"model1","exp2","DF","DurProb3","0.113161255218789","800"
"286",1,"model1","exp2","AF","DurProb3","0.501042698464012","800"
"287",2,"model1","exp2","AF","DurProb3","0.6824146325736","800"
"288",3,"model1","exp2","AF","DurProb3","0.483207400437603","800"
"289",4,"model1","exp2","AF","DurProb3","0.245709626920506","800"
"290",5,"model1","exp2","AF","DurProb3","0.0776135506837123","800"
"291",6,"model1","exp2","AF","DurProb3","0.0206485706614963","800"
"292",7,"model1","exp2","AF","DurProb3","0.335680205364697","800"
"293",8,"model1","exp2","AF","DurProb3","0.531094014901796","800"
"294",9,"model1","exp2","AF","DurProb3","0.528830233279811","800"
"295",10,"model1","exp2","AF","DurProb3","0.646860369072839","800"
"296",11,"model1","exp2","AF","DurProb3","0.381868619673715","800"
"297",12,"model1","exp2","AF","DurProb3","0.13673475800678","800"
"298",13,"model1","exp2","AF","DurProb3","0.383161757053028","800"
"299",14,"model1","exp2","AF","DurProb3","0.609488660329984","800"
"300",15,"model1","exp2","AF","DurProb3","0.113161255218789","800"
"301",1,"model1","exp2","DF","DurProb4","0.861792801075668","1000"
"302",2,"model1","exp2","DF","DurProb4","0.869476148203537","1000"
"303",3,"model1","exp2","DF","DurProb4","0.874363758448421","1000"
"304",4,"model1","exp2","DF","DurProb4","0.709156628406032","1000"
"305",5,"model1","exp2","DF","DurProb4","0.537665036369272","1000"
"306",6,"model1","exp2","DF","DurProb4","0.142725145400935","1000"
"307",7,"model1","exp2","DF","DurProb4","0.732116533525326","1000"
"308",8,"model1","exp2","DF","DurProb4","0.921412751087392","1000"
"309",9,"model1","exp2","DF","DurProb4","0.90742323565587","1000"
"310",10,"model1","exp2","DF","DurProb4","0.709609931046385","1000"
"311",11,"model1","exp2","DF","DurProb4","0.705880159410624","1000"
"312",12,"model1","exp2","DF","DurProb4","0.703799061433002","1000"
"313",13,"model1","exp2","DF","DurProb4","0.608275276122435","1000"
"314",14,"model1","exp2","DF","DurProb4","0.862203942204125","1000"
"315",15,"model1","exp2","DF","DurProb4","0.578945393670993","1000"
"316",1,"model1","exp2","AF","DurProb4","0.861792801075668","1000"
"317",2,"model1","exp2","AF","DurProb4","0.869476148203537","1000"
"318",3,"model1","exp2","AF","DurProb4","0.874363758448421","1000"
"319",4,"model1","exp2","AF","DurProb4","0.709156628406032","1000"
"320",5,"model1","exp2","AF","DurProb4","0.537665036369272","1000"
"321",6,"model1","exp2","AF","DurProb4","0.142725145400935","1000"
"322",7,"model1","exp2","AF","DurProb4","0.732116533525326","1000"
"323",8,"model1","exp2","AF","DurProb4","0.921412751087392","1000"
"324",9,"model1","exp2","AF","DurProb4","0.90742323565587","1000"
"325",10,"model1","exp2","AF","DurProb4","0.709609931046385","1000"
"326",11,"model1","exp2","AF","DurProb4","0.705880159410624","1000"
"327",12,"model1","exp2","AF","DurProb4","0.703799061433002","1000"
"328",13,"model1","exp2","AF","DurProb4","0.608275276122435","1000"
"329",14,"model1","exp2","AF","DurProb4","0.862203942204125","1000"
"330",15,"model1","exp2","AF","DurProb4","0.578945393670993","1000"
"331",1,"model1","exp2","DF","DurProb5","0.954681145776638","1200"
"332",2,"model1","exp2","DF","DurProb5","0.934049871843928","1200"
"333",3,"model1","exp2","DF","DurProb5","0.963677057234465","1200"
"334",4,"model1","exp2","DF","DurProb5","0.903194769052247","1200"
"335",5,"model1","exp2","DF","DurProb5","0.870086636478523","1200"
"336",6,"model1","exp2","DF","DurProb5","0.397657898308016","1200"
"337",7,"model1","exp2","DF","DurProb5","0.893852949865977","1200"
"338",8,"model1","exp2","DF","DurProb5","0.982360307633501","1200"
"339",9,"model1","exp2","DF","DurProb5","0.976507900156168","1200"
"340",10,"model1","exp2","DF","DurProb5","0.747559681720657","1200"
"341",11,"model1","exp2","DF","DurProb5","0.855719077025843","1200"
"342",12,"model1","exp2","DF","DurProb5","0.935286155880962","1200"
"343",13,"model1","exp2","DF","DurProb5","0.740943850825938","1200"
"344",14,"model1","exp2","DF","DurProb5","0.940443133292431","1200"
"345",15,"model1","exp2","DF","DurProb5","0.870265573710676","1200"
"346",1,"model1","exp2","AF","DurProb5","0.954681145776638","1200"
"347",2,"model1","exp2","AF","DurProb5","0.934049871843928","1200"
"348",3,"model1","exp2","AF","DurProb5","0.963677057234465","1200"
"349",4,"model1","exp2","AF","DurProb5","0.903194769052247","1200"
"350",5,"model1","exp2","AF","DurProb5","0.870086636478523","1200"
"351",6,"model1","exp2","AF","DurProb5","0.397657898308016","1200"
"352",7,"model1","exp2","AF","DurProb5","0.893852949865977","1200"
"353",8,"model1","exp2","AF","DurProb5","0.982360307633501","1200"
"354",9,"model1","exp2","AF","DurProb5","0.976507900156168","1200"
"355",10,"model1","exp2","AF","DurProb5","0.747559681720657","1200"
"356",11,"model1","exp2","AF","DurProb5","0.855719077025843","1200"
"357",12,"model1","exp2","AF","DurProb5","0.935286155880962","1200"
"358",13,"model1","exp2","AF","DurProb5","0.740943850825938","1200"
"359",14,"model1","exp2","AF","DurProb5","0.940443133292431","1200"
"360",15,"model1","exp2","AF","DurProb5","0.870265573710676","1200"
"361",1,"model1","exp2","DF","DurProb6","0.980491829841625","1400"
"362",2,"model1","exp2","DF","DurProb6","0.960433955559609","1400"
"363",3,"model1","exp2","DF","DurProb6","0.985715101955454","1400"
"364",4,"model1","exp2","DF","DurProb6","0.960523382797648","1400"
"365",5,"model1","exp2","DF","DurProb6","0.95899851925378","1400"
"366",6,"model1","exp2","DF","DurProb6","0.638479231944144","1400"
"367",7,"model1","exp2","DF","DurProb6","0.949526824377342","1400"
"368",8,"model1","exp2","DF","DurProb6","0.994134243333054","1400"
"369",9,"model1","exp2","DF","DurProb6","0.99150108398001","1400"
"370",10,"model1","exp2","DF","DurProb6","0.77257147798114","1400"
"371",11,"model1","exp2","DF","DurProb6","0.918819131676572","1400"
"372",12,"model1","exp2","DF","DurProb6","0.981302022483155","1400"
"373",13,"model1","exp2","DF","DurProb6","0.815653754765476","1400"
"374",14,"model1","exp2","DF","DurProb6","0.96834326313842","1400"
"375",15,"model1","exp2","DF","DurProb6","0.954145995218929","1400"
"376",1,"model1","exp2","AF","DurProb6","0.980491829841625","1400"
"377",2,"model1","exp2","AF","DurProb6","0.960433955559609","1400"
"378",3,"model1","exp2","AF","DurProb6","0.985715101955454","1400"
"379",4,"model1","exp2","AF","DurProb6","0.960523382797648","1400"
"380",5,"model1","exp2","AF","DurProb6","0.95899851925378","1400"
"381",6,"model1","exp2","AF","DurProb6","0.638479231944144","1400"
"382",7,"model1","exp2","AF","DurProb6","0.949526824377342","1400"
"383",8,"model1","exp2","AF","DurProb6","0.994134243333054","1400"
"384",9,"model1","exp2","AF","DurProb6","0.99150108398001","1400"
"385",10,"model1","exp2","AF","DurProb6","0.77257147798114","1400"
"386",11,"model1","exp2","AF","DurProb6","0.918819131676572","1400"
"387",12,"model1","exp2","AF","DurProb6","0.981302022483155","1400"
"388",13,"model1","exp2","AF","DurProb6","0.815653754765476","1400"
"389",14,"model1","exp2","AF","DurProb6","0.96834326313842","1400"
"390",15,"model1","exp2","AF","DurProb6","0.954145995218929","1400"
"391",1,"model1","exp2","DF","DurProb7","0.989742097100431","1600"
"392",2,"model1","exp2","DF","DurProb7","0.973234234522763","1600"
"393",3,"model1","exp2","DF","DurProb7","0.992973796988015","1600"
"394",4,"model1","exp2","DF","DurProb7","0.980366116305833","1600"
"395",5,"model1","exp2","DF","DurProb7","0.983539571011626","1600"
"396",6,"model1","exp2","DF","DurProb7","0.786972495009073","1600"
"397",7,"model1","exp2","DF","DurProb7","0.971732729313832","1600"
"398",8,"model1","exp2","DF","DurProb7","0.997445755876364","1600"
"399",9,"model1","exp2","DF","DurProb7","0.996062458742597","1600"
"400",10,"model1","exp2","DF","DurProb7","0.790149279725585","1600"
"401",11,"model1","exp2","DF","DurProb7","0.948391550380857","1600"
"402",12,"model1","exp2","DF","DurProb7","0.99280862533133","1600"
"403",13,"model1","exp2","DF","DurProb7","0.859892189119185","1600"
"404",14,"model1","exp2","DF","DurProb7","0.980478948102831","1600"
"405",15,"model1","exp2","DF","DurProb7","0.979853807429337","1600"
"406",1,"model1","exp2","AF","DurProb7","0.989742097100431","1600"
"407",2,"model1","exp2","AF","DurProb7","0.973234234522763","1600"
"408",3,"model1","exp2","AF","DurProb7","0.992973796988015","1600"
"409",4,"model1","exp2","AF","DurProb7","0.980366116305833","1600"
"410",5,"model1","exp2","AF","DurProb7","0.983539571011626","1600"
"411",6,"model1","exp2","AF","DurProb7","0.786972495009073","1600"
