"","NSub","U_pse","U_jnd","U_slope","B_pse","B_jnd","B_slope"
"1",1,"943.794934135244","64.4703944941718","1.16744471314634","927.774028536005","56.5127495930524","1.18629886168304"
"2",2,"772.972732373332","127.542618599802","1.38491609460949","871.719088573784","85.4703957730635","1.25469585938492"
"3",3,"1176.81611546272","70.6191527712196","0.924775913222035","846.73301982316","61.4975310477793","1.28644071443552"
"4",4,"910.291583255554","116.997618364009","1.20722061545926","931.268048349741","83.0722643064283","1.18216114280069"
"5",5,"887.73449133897","139.934766701707","1.23476145469373","981.536087454187","160.646016283221","1.12420509221943"
"6",6,"737.593440956551","50.7599321320032","1.43479050314126","866.994878586989","62.110312532918","1.26063732942004"
"7",7,"938.179131045843","132.541051170598","1.17401929627659","1054.27438263674","95.6807814055383","1.04533552039385"
"8",8,"770.173858292229","81.6626985804087","1.3887977299415","920.664485799132","68.5422638435447","1.19476295640861"
"9",9,"765.87300262068","97.375089621584","1.39478361151439","830.691152379117","75.6518437161412","1.30724404183331"
"10",10,"980.817858534252","123.11027237855","1.12501281886019","895.29226885342","81.8621392109435","1.22546457844994"
"11",11,"774.76618654569","152.850108126417","1.38243453700633","813.216526440075","135.378432051402","1.33028840185703"
"12",12,"745.941320340128","122.045648275451","1.42286289944542","685.4740848683","109.592723877811","1.51155391399363"
"13",13,"861.558141531107","104.190549290186","1.26750974794118","696.939679586282","51.0588439378831","1.49432202512314"
"14",14,"807.468580998845","213.639710264447","1.33795684479477","761.109556624505","96.3157379867767","1.40144343719132"
"15",15,"870.931784462964","78.5779621392285","1.25568407555513","877.412405318486","72.1726592139951","1.24757277466847"
