"","NSub","PSC_pse","PSC_jnd","PSC_slope","NSC_pse","NSC_jnd","NSC_slope"
"1",1,"1079.64395049965","128.315726820572","2.63872688905038","1178.60138183644","129.137419581478","2.63655955683019"
"2",2,"1032.56035883889","105.319155420821","2.70011167494935","1142.96464689405","184.881413465913","2.49360854241797"
"3",3,"816.774483139682","183.720101883055","2.49650608104833","887.122359785991","199.66448931714","2.45701647623515"
"4",4,"663.981394982773","100.547278529976","2.71302706627462","830.942646699481","145.70416397593","2.59324016994762"
"5",5,"656.080053580603","141.698694524843","2.60364814472492","770.275107571999","184.76523622926","2.49389825979668"
"6",6,"991.041809023331","184.190164183784","2.49533284342508","959.81400201203","154.721573075503","2.56996097917791"
"7",7,"908.160462085291","135.671499382836","2.61938822679816","971.49856793988","148.957607922692","2.58481691813296"
"8",8,"862.864270845684","135.061608235803","2.62098625575064","1026.78546268341","123.127297558048","2.65245331536061"
"9",9,"922.209137600301","113.85965339315","2.67714957014052","859.339704532065","105.434524136661","2.69980018450126"
"10",10,"760.62707547603","96.3361932995556","2.72447594366358","900.200788889217","111.913152111754","2.68236572018372"
"11",11,"619.315282257777","95.2432987157899","2.72745513634125","614.876831224509","114.385083836946","2.67574328373897"
"12",12,"698.910569361398","68.836077545012","2.80043905745731","883.553366391774","74.3326811349887","2.78508838102088"
"13",13,"921.246978338606","75.2227156242992","2.78261065909854","1024.24476935794","102.164695492874","2.70864251705482"
"14",14,"774.832182956721","121.874830882153","2.65577750603193","839.742396238896","118.171261204915","2.66563159947002"
"15",15,"929.48320708042","66.2002666796515","2.8078302217291","1123.70658877425","114.807727610728","2.67461263644721"
